,ids,typesV0,typesKm,formula,labels
0,mp-1174413,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn1', 'Mn0', 'Co2', 'Co6', 'O4', 'O4', 'O4', 'O2', 'O4', 'O4', 'O4', 'O4', 'O4', 'O4']",Li3MnCoO5,1
1,mp-1640232,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn6', 'Mn6', 'Mn6', 'Mn6', 'Mn8', 'Mn8', 'Mn8', 'Mn8', 'Co1', 'Co2', 'O1', 'O1', 'O1', 'O1', 'O2', 'O2', 'O2', 'O2', 'O4', 'O4', 'O4', 'O4', 'O4', 'O2', 'O4', 'O2', 'O1', 'O1', 'O1', 'O1', 'O2', 'O2', 'O2', 'O2']",Li7Mn4CoO12,1
2,mp-1173979,"['Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn2', 'Mn2', 'Co5', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1']",Li5Mn2CoO8,0
3,mp-1174834,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Mn', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn8', 'Mn6', 'Mn8', 'Co1', 'O2', 'O2', 'O1', 'O2', 'O2', 'O1', 'O2', 'O2', 'O2', 'O2']",Li6Mn3CoO10,0
4,mp-1174200,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn1', 'Mn10', 'Co2', 'Co3', 'O1', 'O4', 'O1', 'O1', 'O4', 'O4', 'O1', 'O4', 'O4', 'O1']",Li3MnCoO5,0
5,mp-1175170,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn8', 'Mn8', 'Mn8', 'Mn8', 'Mn6', 'Mn6', 'Mn6', 'Mn6', 'Co6', 'Co1', 'O1', 'O1', 'O1', 'O1', 'O4', 'O2', 'O4', 'O2', 'O4', 'O4', 'O4', 'O4', 'O1', 'O1', 'O1', 'O1', 'O1', 'O2', 'O2', 'O1', 'O2', 'O2', 'O2', 'O2']",Li7Mn4CoO12,1
6,mp-1175280,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn10', 'Mn10', 'Mn10', 'Mn10', 'Mn8', 'Mn8', 'Mn8', 'Mn8', 'Co1', 'Co1', 'O1', 'O1', 'O1', 'O1', 'O2', 'O2', 'O2', 'O2', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O2', 'O2', 'O2', 'O2']",Li7Mn4CoO12,1
7,mp-1643277,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn8', 'Mn8', 'Mn8', 'Mn8', 'Mn2', 'Mn6', 'Mn2', 'Mn6', 'Co6', 'Co6', 'O1', 'O1', 'O1', 'O1', 'O4', 'O1', 'O4', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O2', 'O2', 'O2', 'O2']",Li7Mn4CoO12,1
8,mp-1639368,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn2', 'Mn2', 'Mn2', 'Mn2', 'Mn8', 'Mn8', 'Mn8', 'Mn8', 'Co5', 'Co1', 'O1', 'O1', 'O1', 'O1', 'O4', 'O1', 'O4', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1']",Li7Mn4CoO12,1
9,mp-1174428,"['Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn10', 'Mn2', 'Co6', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1', 'O1']",Li5Mn2CoO8,1
