,typesV0,typesV1,ids,formula,labels
0,"['O', 'C', 'C', 'C', 'N', 'C', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'N', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['O0', 'C3', 'C3', 'C8', 'N1', 'C6', 'O0', 'C8', 'C3', 'C6', 'C1', 'C6', 'C1', 'C6', 'C1', 'C1', 'C6', 'N6', 'C6', 'N1', 'C6', 'C1', 'C1', 'C1', 'C1', 'C6', 'C5', 'C5', 'C3', 'C8', 'C5', 'C5', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",BACE_1,O1CC[C@@H](NC(=O)[C@@H](Cc2cc3cc(ccc3nc2N)-c2ccccc2C)C)CC1(C)C,1
1,"['F', 'C', 'C', 'C', 'C', 'C', 'F', 'C', 'C', 'C', 'N', 'C', 'O', 'C', 'N', 'C', 'C', 'C', 'N', 'C', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'N', 'C', 'C', 'O', 'C', 'C', 'C', 'C']","['F0', 'C1', 'C1', 'C1', 'C1', 'C1', 'F0', 'C1', 'C1', 'C1', 'N6', 'C1', 'O0', 'C1', 'N6', 'C1', 'C1', 'C1', 'N6', 'C1', 'O0', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'O0', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'O0', 'C1', 'N6', 'C1', 'C1', 'O0', 'C1', 'C1', 'C1', 'C1']",BACE_2,Fc1cc(cc(F)c1)C[C@H](NC(=O)[C@@H](N1CC[C@](NC(=O)C)(CC(C)C)C1=O)CCc1ccccc1)[C@H](O)[C@@H]1[NH2+]C[C@H](OCCC)C1,1
2,"['S', 'O', 'O', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'N', 'C', 'C', 'O', 'C', 'N', 'C', 'C', 'C', 'C', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","['S7', 'O0', 'O0', 'N6', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'N6', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'O0', 'N6', 'C1', 'C1', 'O0', 'C1', 'N6', 'C1', 'C1', 'C1', 'C1', 'O0', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1']",BACE_3,S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(OC)ccc1)Cc1ccccc1)C,1
3,"['S', 'O', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'C', 'O', 'C', 'C', 'C', 'F', 'F', 'F', 'C', 'N', 'C', 'F', 'C', 'C', 'O', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['S6', 'O0', 'O0', 'C3', 'C8', 'C3', 'C6', 'C1', 'C6', 'O0', 'C8', 'C3', 'O0', 'C3', 'C5', 'C6', 'F0', 'F0', 'F0', 'C6', 'N1', 'C6', 'F0', 'C1', 'C8', 'O0', 'C8', 'N1', 'C3', 'C6', 'C1', 'C6', 'C1', 'C1', 'C1', 'C8', 'C5', 'C5', 'C5', 'C3', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",BACE_4,S1(=O)(=O)C[C@@H](Cc2cc(O[C@H](COCC)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,1
4,"['S', 'O', 'O', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'N', 'C', 'C', 'O', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","['S7', 'O0', 'O0', 'N6', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'N6', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'O0', 'N6', 'C1', 'C1', 'O0', 'C1', 'N6', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'F0', 'F0', 'F0', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1']",BACE_5,S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)C(F)(F)F)Cc1ccccc1)C,1
5,"['S', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'C', 'F', 'F', 'F', 'C', 'F', 'F', 'F', 'C', 'N', 'C', 'F', 'C', 'C', 'O', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['S0', 'O0', 'C3', 'C8', 'C3', 'C6', 'C1', 'C6', 'O0', 'C8', 'C6', 'F0', 'F0', 'F0', 'C6', 'F0', 'F0', 'F0', 'C6', 'N1', 'C6', 'F0', 'C1', 'C8', 'O0', 'C8', 'N1', 'C3', 'C6', 'C1', 'C6', 'C1', 'C1', 'C1', 'C8', 'C5', 'C5', 'C5', 'C3', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",BACE_6,S1(=O)C[C@@H](Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,1
6,"['S', 'O', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'N', 'C', 'O', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'O', 'N', 'C', 'C', 'O', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'F', 'C', 'C', 'F', 'C']","['S7', 'O0', 'O0', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'N6', 'C1', 'O0', 'C1', 'C1', 'C1', 'C1', 'N6', 'C1', 'C1', 'O0', 'N6', 'C1', 'C1', 'O0', 'C1', 'N6', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'F0', 'C1', 'C1', 'F0', 'C1']",BACE_7,S(=O)(=O)(CCCCC)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)CC)Cc1cc(F)cc(F)c1,1
7,"['F', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'N', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'O', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['F0', 'C6', 'C6', 'C6', 'C1', 'C1', 'C1', 'C6', 'N1', 'C6', 'N1', 'C6', 'C1', 'C6', 'C5', 'C6', 'O0', 'N3', 'C1', 'C3', 'C5', 'C6', 'C1', 'C6', 'C1', 'C1', 'C1', 'C6', 'C1', 'C6', 'C1', 'N6', 'C1', 'C6', 'C6', 'C5', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",BACE_8,Fc1c2c(ccc1)[C@@]([NH+]=C2N)(C=1C=C(C)C(=O)N(C=1)CC)c1cc(ccc1)-c1cc(cnc1)C#CC,1
8,"['O', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'O', 'C', 'N', 'C', 'O', 'C', 'C', 'C', 'C', 'O', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['O0', 'C6', 'C6', 'C1', 'C6', 'C1', 'C1', 'C3', 'C5', 'C8', 'N1', 'C3', 'C8', 'O0', 'C8', 'N1', 'C6', 'O0', 'C6', 'C1', 'C1', 'C1', 'O0', 'N3', 'C3', 'C3', 'C3', 'C3', 'C6', 'C1', 'C6', 'C3', 'C1', 'C1', 'C1', 'C1', 'C3', 'C8', 'C3', 'C3', 'C3', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",BACE_9,O1c2c(cc(cc2)CC)[C@@H]([NH2+]C[C@@H](O)[C@H]2NC(=O)C=3C=CC(=O)N(CCCCc4cc(C2)ccc4)C=3)CC12CCC2,1
9,"['F', 'C', 'C', 'C', 'C', 'C', 'F', 'C', 'C', 'C', 'N', 'C', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'N', 'C', 'C', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","['F0', 'C1', 'C1', 'C1', 'C1', 'C1', 'F0', 'C1', 'C1', 'C1', 'N6', 'C1', 'O0', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'O0', 'N6', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'O0', 'C1', 'N6', 'C1', 'C1', 'O0', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1']",BACE_11,Fc1cc(cc(F)c1)C[C@H](NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@H](O)[C@@H]1[NH2+]C[C@H](Oc2ccccc2)C1,1
