,typesV0,typesV1,ids,formula,labels
0,"['C', 'C', 'C', 'C', 'C', 'C', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H']","['C8', 'C8', 'C8', 'C8', 'C8', 'C8', 'Cl0', 'Cl0', 'Cl0', 'Cl0', 'Cl0', 'Cl0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",1,[C@@H]1([C@@H]([C@@H]([C@H]([C@@H]([C@@H]1Cl)Cl)Cl)Cl)Cl)Cl,1
1,"['C', 'C', 'C', 'C', 'O', 'O', 'O', 'O', 'C', 'C', 'O', 'O', 'O', 'O', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['C8', 'C8', 'C8', 'C6', 'O0', 'O0', 'O0', 'O0', 'C8', 'C6', 'O0', 'O0', 'O0', 'O0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",2,[C@H]([C@@H]([C@@H](C(=O)[O-])O)O)([C@H](C(=O)[O-])O)O,1
2,"['H', 'N', 'C', 'C', 'C', 'C', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'N', 'N', 'C', 'C', 'C', 'C', 'N', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['H0', 'N1', 'C6', 'C6', 'C1', 'C1', 'O0', 'C6', 'C1', 'C1', 'C6', 'C1', 'C1', 'C6', 'C6', 'N1', 'N1', 'C1', 'C1', 'C1', 'C1', 'N1', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",3,[H]/[NH+]=C(/C1=CC(=O)/C(=C\C=c2ccc(=C([NH3+])N)cc2)/C=C1)\N,1
3,"['H', 'N', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'N', 'H', 'N', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['H0', 'N1', 'C6', 'N1', 'C6', 'C1', 'C1', 'C6', 'C1', 'C1', 'O0', 'C3', 'C3', 'C3', 'C3', 'C3', 'O0', 'C6', 'C1', 'C1', 'C6', 'C1', 'C1', 'C6', 'N1', 'H0', 'N1', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",4,[H]/[NH+]=C(\N)/c1ccc(cc1)OCCCCCOc2ccc(cc2)/C(=[NH+]/[H])/N,1
4,"['N', 'O', 'O', 'O']","['N6', 'O0', 'O0', 'O0']",5,[N+](=O)([O-])[O-],1
5,"['N', 'O']","['N6', 'O0']",6,[N]=O,1
6,"['N', 'Pt', 'N', 'Cl', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['N1', 'Pt1', 'N1', 'Cl0', 'Cl0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",7,[NH4][Pt]([NH4])(Cl)Cl,1
7,"['O', 'Tc', 'O', 'O', 'O']","['O0', 'Tc2', 'O0', 'O0', 'O0']",8,[O-][99Tc](=O)(=O)=O,1
8,"['O', 'P', 'O', 'O', 'F']","['O0', 'P0', 'O0', 'O0', 'F0']",9,[O-]P(=O)([O-])F,1
9,"['O', 'S', 'O', 'O', 'O']","['O0', 'S6', 'O0', 'O0', 'O0']",10,[O-]S(=O)(=O)[O-],1
