,typesV0,typesV1,ids,formula,labels
0,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","['C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C1', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C8', 'C6', 'C6', 'C6', 'C6', 'C6', 'C8', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C8', 'C8', 'C6', 'C6', 'C6', 'C6', 'C6', 'C8', 'C6', 'C6', 'C6', 'C6', 'C6']",0,C52,2
1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","['C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C8', 'C1', 'C6', 'C6', 'C6', 'C1', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C8', 'C6', 'C6', 'C6', 'C6', 'C8', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6']",1,C44,2
2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","['C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4']",2,C12,1
3,"['C', 'C', 'C', 'C']","['C4', 'C4', 'C4', 'C4']",3,C4,1
4,"['C', 'C', 'C', 'C']","['C4', 'C4', 'C4', 'C4']",4,C4,1
5,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","['C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C8', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C8', 'C8', 'C8', 'C8', 'C8', 'C8', 'C6', 'C6', 'C8', 'C6', 'C6', 'C8', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6']",5,C43,2
6,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","['C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C1', 'C8', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C8', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C8', 'C6', 'C8', 'C6', 'C8', 'C6', 'C8', 'C6', 'C6', 'C6', 'C8', 'C8', 'C6', 'C6', 'C8', 'C6', 'C6', 'C8', 'C6']",6,C45,2
7,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","['C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4']",7,H32,0
8,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","['C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C1', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C6', 'C1']",8,C19,2
9,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","['C1', 'C1', 'C1', 'C1', 'C6', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C6', 'C1', 'C6']",9,C17,2
