,typesV0,typesV1,ids,formula,labels
0,"['Cl', 'C', 'C', 'N', 'C', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['Cl6', 'C5', 'C8', 'N1', 'C3', 'O0', 'C1', 'C1', 'C5', 'C1', 'C1', 'C1', 'C6', 'C5', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",NCGC00094121-01,Cl.CC(N)COC1=C(C)C=CC=C1C,0
1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'N', 'C', 'C', 'C', 'N', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['C5', 'C3', 'C3', 'C3', 'C3', 'C3', 'C3', 'C3', 'C3', 'C3', 'C3', 'C6', 'O0', 'N1', 'C3', 'C3', 'C3', 'N3', 'C5', 'C5', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",NCGC00256156-01,CCCCCCCCCCCC(=O)NCCCN(C)C,0
2,"['C', 'S', 'C', 'C', 'C', 'C', 'N', 'C', 'O', 'C', 'N', 'C', 'O', 'C', 'N', 'C', 'C', 'C', 'C', 'O', 'C', 'C', 'C', 'O', 'O', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['C1', 'S0', 'C8', 'C5', 'C5', 'C1', 'N3', 'C1', 'O0', 'C8', 'N1', 'C1', 'O0', 'C8', 'N1', 'C6', 'C1', 'C1', 'C6', 'O0', 'C1', 'C1', 'C1', 'O0', 'O0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",NCGC00094586-01,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@@]2([H])NC(=O)[C@H](N)C3=CC=C(O)C=C3)C(O)=O,0
3,"['C', 'C', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'N', 'O', 'O', 'C', 'F', 'F', 'F', 'N', 'O', 'O', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['C5', 'C3', 'C3', 'N3', 'C3', 'C3', 'C5', 'C6', 'C6', 'C6', 'N1', 'C6', 'C1', 'C6', 'N6', 'O0', 'O0', 'C6', 'F0', 'F0', 'F0', 'N6', 'O0', 'O0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",NCGC00254602-01,CCCN(CCC)C1=C(C(N)=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,0
4,"['Cl', 'C', 'C', 'C', 'O', 'C', 'C', 'Br', 'C', 'C', 'C', 'S', 'C', 'O', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'F', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['Cl0', 'C5', 'C3', 'C3', 'O0', 'C6', 'C6', 'Br5', 'C6', 'C5', 'C6', 'S7', 'C1', 'O0', 'N3', 'C3', 'C3', 'C8', 'C3', 'C3', 'C6', 'C1', 'C6', 'C3', 'N1', 'C1', 'C1', 'C6', 'F0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",NCGC00254244-01,Cl.CCCOC1=C(Br)C(C)=C(S1)C(=O)N2CCC(CC2)C3=CC(CN)=CC=C3F,0
5,"['N', 'C', 'N', 'C', 'N', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'N', 'N', 'C', 'N', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['N1', 'C1', 'N6', 'C6', 'N1', 'C6', 'N6', 'C6', 'C6', 'C1', 'C1', 'C1', 'C1', 'C1', 'C8', 'N1', 'N6', 'C6', 'N6', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",NCGC00016016-10,NC1=NC(N)=C2N=C(C3=CC=CC=C3)C(N)=NC2=N1,0
6,"['O', 'C', 'C', 'Br', 'C', 'C', 'C', 'O', 'C', 'C', 'C', 'C', 'Br', 'C', 'O', 'C', 'Br', 'C', 'O', 'C', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['O0', 'C6', 'C6', 'Br5', 'C1', 'C6', 'C6', 'O0', 'C6', 'C6', 'C1', 'C6', 'Br5', 'C6', 'O0', 'C6', 'Br5', 'C6', 'O0', 'C6', 'O0', 'C6', 'C1', 'C1', 'C1', 'C1', 'C6', 'C6', 'Br5', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",NCGC00255782-01,OC1=C(Br)C=C2C(OC3=C(C=C(Br)C(O)=C3Br)C24OC(=O)C5=CC=CC=C45)=C1Br,0
7,"['C', 'C', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['C5', 'C8', 'C5', 'C3', 'C8', 'C5', 'N1', 'C6', 'C1', 'C1', 'C6', 'N6', 'C6', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'C1', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",NCGC00258444-01,CC(C)CC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1,0
8,"['Cl', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['Cl0', 'C5', 'N1', 'C3', 'C3', 'C3', 'C8', 'C3', 'C3', 'C8', 'C6', 'C6', 'C1', 'C1', 'C1', 'C1', 'C6', 'C6', 'C1', 'C1', 'C1', 'C1', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",NCGC00254894-01,Cl.CNCCCC12CCC(C3=C1C=CC=C3)C4=C2C=CC=C4,0
9,"['C', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'O', 'C', 'C', 'O', 'C', 'O', 'C', 'O', 'C', 'C', 'O', 'C', 'O', 'C', 'O', 'C', 'O', 'C', 'C', 'O', 'C', 'O', 'C', 'O', 'C', 'O', 'C', 'O', 'C', 'C', 'O', 'C', 'O', 'C', 'O', 'C', 'O', 'C', 'C', 'O', 'C', 'O', 'C', 'O', 'C', 'O', 'C', 'O', 'C', 'O', 'C', 'O', 'C', 'O', 'C', 'C', 'C', 'C', 'C', 'O', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['C8', 'O0', 'C6', 'C3', 'C3', 'C8', 'C5', 'C3', 'O0', 'C8', 'C5', 'C8', 'C8', 'C5', 'C3', 'C3', 'C8', 'C8', 'C3', 'C3', 'C8', 'C3', 'C8', 'O0', 'C1', 'O0', 'C8', 'C3', 'O0', 'C8', 'O0', 'C1', 'O0', 'C8', 'C3', 'O0', 'C8', 'O0', 'C8', 'O0', 'C1', 'O0', 'C3', 'C8', 'O0', 'C8', 'O0', 'C8', 'O0', 'C8', 'O0', 'C1', 'O0', 'C8', 'C3', 'O0', 'C8', 'O0', 'C8', 'O0', 'C1', 'O0', 'C8', 'C3', 'O0', 'C8', 'O0', 'C8', 'O0', 'C8', 'O0', 'C8', 'O0', 'C8', 'O0', 'C8', 'O0', 'C8', 'O0', 'C3', 'C8', 'C5', 'C8', 'C8', 'O0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0', 'H0']",NCGC00260056-01,[H][C@@]12O[C@]3(CC[C@@]([H])(C)CO3)[C@@H](C)[C@]1([H])[C@@]4(C)CC[C@@]5([H])[C@@]([H])(CC[C@@]6([H])C[C@@H](O[C@@H]7O[C@H](CO)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O[C@@H]9OC[C@@H](O)[C@H](O)[C@H]9O)[C@H]8O[C@@H]%10O[C@H](CO)[C@@H](O)[C@H](O[C@@H]%11O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%11O)[C@H]%10O)[C@H](O)[C@H]7O)[C@H](O)C[C@]56C)[C@]4([H])[C@@H]2O,1
